provider_id,provider_name,entity_type,hq_country,provider_website,system_family,system_category,modality,access,license_or_terms,open_weights,model_family_source_url,notes,last_verified_utc
bigscience, BigScience, consortium, France, https://bigscience.huggingface.co/, BLOOM, LLM, text, Open weights, RII License (RAIL variant)/BigScience OpenRAIL-M, Yes, https://huggingface.co/bigscience/bloom,Model card (Hugging Face); see huggingface.co,2025-07-09T12:00:00Z
openai, OpenAI, company, USA, https://openai.com/, GPT-4o / o1 / o3 / GPT-4 family, LLM (multimodal)," ""text,image,video,audio""", API + Apps, OpenAI Terms of Use, No, https://openai.com/index/gpt-4o-system-card/,Official system card; see openai.com,2025-07-11T05:17:56Z
google, Google (DeepMind), company, USA, https://ai.google/, Gemini (Ultra/Pro/Nano/Flash), LLM (multimodal)," ""text,image,video,audio""", API + Apps; some open weights (Gemma), Google Terms; Gemma license, Partial, https://ai.google.dev/gemini-api/docs/models/gemini,Official model docs (Google); see ai.google.dev,2025-07-10T23:24:17Z
anthropic, Anthropic, company, USA, https://www.anthropic.com/, Claude 3.x / 4.x Sonnet/Opus/Haiku, LLM (multimodal)," ""text,image""", API + Apps, Anthropic Terms of Service, No, https://www.anthropic.com/claude,Product page / model cards (Anthropic); see www.anthropic.com,2025-07-09T14:12:46Z
meta, Meta, company, USA, https://ai.meta.com/, Llama 3.x, LLM, text, Open weights; hosted APIs, Llama 3 license, Yes, https://ai.meta.com/llama/,Model family hub (Meta); see ai.meta.com,2025-07-12T04:08:43Z
databricks, Databricks, company, USA, https://www.databricks.com/, DBRX, LLM, text, Open weights + API, Databricks Open Model License (Dbrx-OML), Yes, https://www.databricks.com/blog/introducing-dbrx,Announcement / model card (Databricks); see www.databricks.com,2025-07-13T18:35:06Z
stability, Stability AI, company, UK, https://stability.ai/, Stable Diffusion (SDXL/3), Diffusion (image), image, Open weights + API, CreativeML/OpenRAIL, Yes, https://huggingface.co/stabilityai,Model card (Hugging Face); see huggingface.co,2025-07-12T12:18:49Z
alibaba, Alibaba Cloud, company, China, https://www.alibabacloud.com/, Qwen (Qwen2.5/Qwen3), LLM (and VLM)," ""text,image""", Open weights + API, Qwen License, Yes, https://qwenlm.ai/,Model family site (Qwen); see qwenlm.ai,2025-07-12T14:52:50Z
cohere, Cohere, company, Canada, https://cohere.com/, Command / Embed / Rerank, LLM + Embeddings, text, API, Cohere Terms, No, https://docs.cohere.com/docs/models,Model docs (Cohere); see docs.cohere.com,2025-07-15T17:56:31Z
deepseek, DeepSeek, company, China, https://deepseek.com/, DeepSeek-V3 / DeepSeek-R1, LLM, text, Open weights + API, DeepSeek License, Partial, https://github.com/deepseek-ai/DeepSeek-R1,Repository / weights; see github.com,2025-07-15T12:12:01Z
microsoft, Microsoft, company, USA, https://www.microsoft.com/ai, Phi 3/4 family, LLM (small), text, Open weights + Azure API, MIT-like/Custom (varies), Partial, https://learn.microsoft.com/azure/ai-services/phi-3/family,Primary source; see learn.microsoft.com,2025-07-13T21:23:07Z
ai2, Allen Institute for AI (AI2), non-profit, USA, https://allenai.org/, OLMo, LLM, text, Open weights, Apache-2.0, Yes, https://allenai.org/olmo,Primary source; see allenai.org,2025-07-14T22:18:23Z
eleutherai, EleutherAI, non-profit, International, https://www.eleuther.ai/, GPT‑NeoX / GPT-J, LLM, text, Open weights, Apache-2.0, Yes, https://huggingface.co/EleutherAI/gpt-neox-20b,Model card (Hugging Face); see huggingface.co,2025-07-17T10:10:37Z
01-ai, 01.AI, company, China, https://01.ai/, Yi family, LLM, text, Open weights + API, Apache-2.0/custom, Partial, https://github.com/01-ai/Yi,Repository / weights; see github.com,2025-07-16T15:09:45Z
apple, Apple, company, USA, https://machinelearning.apple.com/, OpenELM / MLX community models, LLM (small), text, Open weights (OpenELM), Apple OpenELM License, Yes, https://github.com/apple/ml-openelm,Repository / weights; see github.com,2025-07-15T09:17:07Z
baidu, Baidu, company, China, https://ai.baidu.com/, ERNIE Bot (Wenxin Yiyan), LLM (multimodal)," ""text,image""", API + Apps, Baidu Terms, No, https://yiyan.baidu.com/,Primary source; see yiyan.baidu.com,2025-07-17T15:57:13Z
perplexity, Perplexity, company, USA, https://www.perplexity.ai/, pplx-70b / pplx-7b (hosted), LLM, text, API, Perplexity Terms, No, https://docs.perplexity.ai/guides/models,Primary source; see docs.perplexity.ai,2025-07-20T06:36:23Z
adobe, Adobe, company, USA, https://www.adobe.com/, Firefly, Diffusion (image/text effects), image, API + Apps, Adobe Terms, No, https://www.adobe.com/sensei/generative-ai/firefly.html,Primary source; see www.adobe.com,2025-07-17T17:08:28Z
tii, Technology Innovation Institute (TII), government, UAE, https://www.tii.ae/, Falcon, LLM, text, Open weights + API, Falcon License, Yes, https://falconllm.tii.ae/,Model hub (TII Falcon); see falconllm.tii.ae,2025-07-19T04:41:49Z
zhipuai, Zhipu AI, company, China, https://www.zhipuai.cn/, GLM / ChatGLM / GLM-4, LLM, text, Open weights + API, Apache-2.0/custom, Partial, https://chatglm.cn/,Primary source; see chatglm.cn,2025-07-20T15:30:23Z
xai, xAI, company, USA, https://x.ai/, Grok, LLM, text, API + Apps, xAI Terms, No, https://x.ai/,Primary source; see x.ai,2025-07-21T19:24:40Z
midjourney, Midjourney, company, USA, https://www.midjourney.com/, Midjourney, Diffusion (image), image, SaaS, Midjourney Terms, No, https://docs.midjourney.com/docs/terms-of-service,Primary source; see docs.midjourney.com,2025-07-20T12:40:54Z
nvidia, NVIDIA, company, USA, https://www.nvidia.com/ai/, Nemotron, LLM, text, Open weights + NIM API, NVIDIA License (varies by model), Partial, https://developer.nvidia.com/nemotron-4-340b,Primary source; see developer.nvidia.com,2025-07-22T02:16:05Z
amazon, Amazon, company, USA, https://aws.amazon.com/ai/, Amazon Titan, LLM/VLM," ""text,image""", API (Bedrock), AWS Service Terms, No, https://aws.amazon.com/ai/generative-ai/models/amazon-titan/,Primary source; see aws.amazon.com,2025-07-24T00:36:36Z
ibm, IBM, company, USA, https://www.ibm.com/, Granite, LLM, text, Open weights + watsonx API, Apache-2.0/IBM T&Cs, Partial, https://huggingface.co/ibm-granite,Model card (Hugging Face); see huggingface.co,2025-07-22T18:02:55Z
salesforce, Salesforce, company, USA, https://www.salesforceairesearch.com/, xGen / CodeGen, LLM (code + text), text, Open weights, Apache-2.0, Yes, https://blog.salesforceairesearch.com/xgen-7b/,Primary source; see blog.salesforceairesearch.com,2025-07-21T10:56:34Z
snowflake, Snowflake, company, USA, https://www.snowflake.com/, Arctic, LLM (retrieval-optimized), text, Open weights + API, Apache-2.0/Snowflake Terms, Partial, https://www.snowflake.com/en/data-cloud/ai/arctic/,Model / research (Snowflake Arctic); see www.snowflake.com,2025-07-24T05:07:53Z
bloomberg, Bloomberg, company, USA, https://www.bloomberg.com/, BloombergGPT, LLM (finance), text, Research API/internal, Proprietary, No, https://www.bloomberg.com/company/announcements/introducing-bloomberggpt/,Research paper / announcement (Bloomberg); see www.bloomberg.com,2025-07-25T04:02:55Z
hf, Hugging Face, company, USA, https://huggingface.co/, Zephyr, LLM, text, Open weights, Apache-2.0, Yes, https://huggingface.co/HuggingFaceH4/zephyr-7b-beta,Model card (Hugging Face); see huggingface.co,2025-07-24T08:34:31Z
bigcode, BigCode (ServiceNow + HF), consortium, International, https://www.bigcode-project.org/, StarCoder2, LLM (code), text, Open weights, BigCode License (OpenRAIL), Yes, https://huggingface.co/bigcode/starcoder2-15b,Model card (Hugging Face); see huggingface.co,2025-07-24T15:42:30Z
mosaicml, MosaicML (Databricks), company, USA, https://www.mosaicml.com/, MPT, LLM, text, Open weights, Apache-2.0, Yes, https://www.mosaicml.com/blog/mpt-7b,Announcement / model card (Databricks); see www.mosaicml.com,2025-07-26T17:19:41Z
reka, Reka AI, company, USA, https://www.reka.ai/, Reka Core / Flash / Edge, LLM (multimodal)," ""text,image""", API, Reka Terms, No, https://www.reka.ai/product,Product docs (Reka); see www.reka.ai,2025-07-27T19:18:21Z
adept, Adept AI, company, USA, https://www.adept.ai/, ACT-1, Agentic (LM), text, API, Adept Terms, No, https://www.adept.ai/blog/act-1,Model card / blog (Adept); see www.adept.ai,2025-07-26T22:21:08Z
characterai, Character.AI, company, USA, https://beta.character.ai/, Character models (C1 family), LLM, text, Apps/API (limited), Proprietary, No, https://beta.character.ai/,Safety / policy (Character.ai); see beta.character.ai,2025-07-27T10:27:41Z
pika, Pika Labs, company, USA, https://pika.art/, Pika 1.0, Video generation (diffusion), video, SaaS, Pika Terms, No, https://www.pika.art/blog,Product docs (Pika); see www.pika.art,2025-07-29T19:42:00Z
runway, Runway, company, USA, https://runwayml.com/, Gen-3 Alpha, Video generation (diffusion), video, SaaS / API, Runway Terms, No, https://runwayml.com/research/gen3/,Safety / disclosures (Runway); see runwayml.com,2025-07-29T14:05:04Z
luma, Luma AI, company, USA, https://lumalabs.ai/, Dream Machine, Video generation, video, SaaS / API, Luma Terms, No, https://lumalabs.ai/dream-machine,Primary source; see lumalabs.ai,2025-07-27T16:38:46Z
elevenlabs, ElevenLabs, company, USA, https://elevenlabs.io/, Eleven Multilingual v2, TTS/ASR, audio, API + Apps, ElevenLabs Terms, No, https://elevenlabs.io/blog/elevenlabs-multilingual-v2,Safety / content policy (ElevenLabs); see elevenlabs.io,2025-07-30T15:47:01Z
suno, Suno, company, USA, https://www.suno.ai/, Suno v3 (and Bark open), Music/TTS, audio, SaaS / API, Suno Terms, Partial, https://github.com/suno-ai/bark,Repository / weights; see github.com,2025-07-31T11:18:42Z
jina, Jina AI, company, Germany, https://jina.ai/, Jina Embeddings / CLIP variants, Embeddings / VLM," ""text,image""", API / Open weights, Apache-2.0, Partial, https://huggingface.co/jinaai,Model card (Hugging Face); see huggingface.co,2025-07-30T21:22:07Z
voyage, Voyage AI, company, USA, https://www.voyageai.com/, Voyage Embeddings, Embeddings, text, API, Voyage Terms, No, https://docs.voyageai.com/docs/embeddings,Primary source; see docs.voyageai.com,2025-07-31T03:26:23Z
nomic, Nomic AI, company, USA, https://www.nomic.ai/, Nomic Embeddings, Embeddings, text, Open weights + API, Apache-2.0, Partial, https://blog.nomic.ai/posts/nomic-embed-text-v1,Primary source; see blog.nomic.ai,2025-08-01T10:06:13Z
nous, Nous Research, company, USA, https://www.nousresearch.com/, Hermes, LLM, text, Open weights + API (via hosts), Apache-2.0/other, Partial, https://huggingface.co/NousResearch,Model card (Hugging Face); see huggingface.co,2025-08-03T06:56:07Z
together, Together AI, company, USA, https://www.together.ai/, Struqta/RedPajama family hosting, LLM hosting / curation, text, API, Together Terms, No, https://www.together.ai/blog/redpajama,Primary source; see www.together.ai,2025-08-02T00:43:59Z
inflection, Inflection AI, company, USA, https://inflection.ai/, Inflection-1, LLM, text, Apps/API (historic), Proprietary, No, https://inflection.ai/,Primary source; see inflection.ai,2025-08-02T00:50:04Z
coqui, Coqui AI, company, Germany, https://coqui.ai/, XTTS / TTS family, TTS, audio, Open weights + API, Various OSS, Partial, https://github.com/coqui-ai/TTS,Repository / weights; see github.com,2025-08-05T08:30:34Z
mistral, Mistral AI, company, France, https://mistral.ai/, Mistral/Mixtral, LLM, text, Open weights + API, MPL/Mistral License, Partial, https://mistral.ai/news,Primary source; see mistral.ai,2025-08-05T07:06:09Z
alephalpha, Aleph Alpha, company, Germany, https://www.aleph-alpha.com/, Luminous, LLM (multilingual), text, API, Aleph Alpha Terms, No, https://www.aleph-alpha.com/luminous,Primary source; see www.aleph-alpha.com,2025-08-02T23:01:54Z
synthesia, Synthesia, company, UK, https://www.synthesia.io/, Synthesia Avatars, Text-to-Video (avatars), video, SaaS/API, Synthesia Terms, No, https://www.synthesia.io/,Primary source; see www.synthesia.io,2025-08-05T14:23:03Z
deepL, DeepL, company, Germany, https://www.deepl.com/, DeepL LLM / Write, LLM (translation/writing), text, Apps/API, DeepL Terms, No, https://www.deepl.com/write,Primary source; see www.deepl.com,2025-08-07T14:56:04Z
ai_sweden, AI Sweden, government, Sweden, https://www.ai.se/, GPT‑SW3, LLM (Swedish), text, Open weights + API, OpenRAIL/Apache-2.0, Yes, https://huggingface.co/AI-Sweden-Models/gpt-sw3,Model card (Hugging Face); see huggingface.co,2025-08-05T21:04:51Z
siloai, Silo AI, company, Finland, https://www.silo.ai/, Poro, LLM (Nordic), text, Open weights + API, Apache-2.0, Partial, https://huggingface.co/FinGPT-AI/porov-0.1,Model card (Hugging Face); see huggingface.co,2025-08-06T03:01:14Z
planTL, PlanTL-GOB (BSC), government, Spain, https://pln.gov.es/en, MarIA, LLM (Spanish), text, Open weights, Apache-2.0, Yes, https://huggingface.co/PlanTL-GOB-ES,Model card (Hugging Face); see huggingface.co,2025-08-07T20:07:41Z
ukp, UKP Lab (TU Darmstadt), academic, Germany, https://www.ukp.tu-darmstadt.de/, SentenceTransformers, Embeddings, text, Open weights, Apache-2.0, Yes, https://www.SBERT.net/,Primary source; see www.SBERT.net,2025-08-09T09:50:40Z
inria, INRIA/CNRS/Sorbonne, academic, France, https://www.inria.fr/, CamemBERT, LM (French), text, Open weights, MIT/Apache-2.0, Yes, https://camembert-model.fr/,Primary source; see camembert-model.fr,2025-08-07T20:30:55Z
lnu_lm, LMU/LAION, consortium, Germany, https://laion.ai/, LeoLM, LLM (German), text, Open weights, Apache-2.0, Yes, https://huggingface.co/LeoLM,Model card (Hugging Face); see huggingface.co,2025-08-07T20:55:22Z
baichuan, Baichuan AI, company, China, https://www.baichuan.ai/, Baichuan 2, LLM, text, Open weights + API, Baichuan License, Partial, https://huggingface.co/baichuan-inc,Model card (Hugging Face); see huggingface.co,2025-08-11T07:24:46Z
minicpm, OpenBMB, consortium, China, https://www.openbmb.org/, MiniCPM, LLM (small), text, Open weights, Apache-2.0, Yes, https://github.com/OpenBMB/MiniCPM,Repository / weights; see github.com,2025-08-11T06:39:17Z
internlm, Shanghai AI Lab, government, China, https://www.shlab.org.cn/, InternLM, LLM, text, Open weights, Apache-2.0, Yes, https://github.com/InternLM/InternLM,Repository / weights; see github.com,2025-08-10T00:20:39Z
tencent, Tencent AI Lab, company, China, https://ai.tencent.com/, Hunyuan, LLM (multimodal)," ""text,image""", API + some open, Tencent Terms, Partial, https://hunyuan.tencent.com/,Primary source; see hunyuan.tencent.com,2025-08-11T17:21:00Z
bytedance, ByteDance, company, China, https://www.bytedance.com/, Doubao, LLM, text, API/Apps, Bytedance Terms, No, https://www.doubao.com/,Primary source; see www.doubao.com,2025-08-13T04:28:18Z
sensetime, SenseTime, company, China, https://www.sensetime.com/, SenseNova, LLM/VLM," ""text,image""", API/Apps, SenseTime Terms, No, https://www.sensetime.com/en/news-detail/,Primary source; see www.sensetime.com,2025-08-13T02:45:38Z
360, Qihoo 360, company, China, https://www.360.cn/, 360GLM, LLM, text, Open weights + API, 360 License, Partial, https://huggingface.co/360Zhizhen,Model card (Hugging Face); see huggingface.co,2025-08-11T21:49:38Z
iflytek, iFLYTEK, company, China, https://www.iflytek.com/, Spark (Xinghuo), LLM (Chinese), text, API/Apps, iFLYTEK Terms, No, https://xinghuo.xfyun.cn/,Primary source; see xinghuo.xfyun.cn,2025-08-14T16:21:42Z
huawei, Huawei, company, China, https://www.noahlab.com.hk/, PanGu, LLM/Time-series, text, API, Huawei Terms, No, https://www.huaweicloud.com/intl/en-us/product/pangu.html,Primary source; see www.huaweicloud.com,2025-08-14T23:43:15Z
baai, Beijing Academy of AI (BAAI), government, China, https://www.baai.ac.cn/, Aquila / WuDao, LLM, text, Open weights (Aquila), Apache-2.0/custom, Partial, https://github.com/BAAI-Open/Aquila,Repository / weights; see github.com,2025-08-13T14:04:56Z
thudm, THUDM (Tsinghua), academic, China, https://thudm.cn/, ChatGLM-6B, LLM, text, Open weights, Apache-2.0, Yes, https://github.com/THUDM/ChatGLM-6B,Repository / weights; see github.com,2025-08-14T14:55:11Z
naver, Naver, company, Korea, https://www.navercloudcorp.com/, HyperCLOVA X, LLM (Korean), text, API/Apps, Naver Terms, No, https://www.navercloudcorp.com/ai-ml/hyperclova-x,Primary source; see www.navercloudcorp.com,2025-08-16T08:38:41Z
kakaobrain, Kakao Brain, company, Korea, https://www.kakaobrain.com/, KoGPT, LLM (Korean), text, Open weights + API, Kakao License/Apache-2.0, Partial, https://github.com/kakaobrain/kogpt,Repository / weights; see github.com,2025-08-17T16:29:13Z
lgai, LG AI Research, company, Korea, https://www.lgresearch.ai/, EXAONE, LLM (multimodal)," ""text,image""", API/Apps + open samples, LG Terms, Partial, https://www.lgresearch.ai/product/exaone,Primary source; see www.lgresearch.ai,2025-08-16T03:06:25Z
rinna, rinna, company, Japan, https://company.rinna.co.jp/en/, Japanese LLMs, LLM (Japanese), text, Open weights + API, Various OSS, Partial, https://huggingface.co/rinna,Model card (Hugging Face); see huggingface.co,2025-08-17T07:06:36Z
elyza, ELYZA, company, Japan, https://elyza.ai/, ELYZA Japanese LLMs, LLM (Japanese), text, Open weights, Apache-2.0, Yes, https://huggingface.co/elyza,Model card (Hugging Face); see huggingface.co,2025-08-19T22:16:24Z
ai21, AI21 Labs, company, Israel, https://www.ai21.com/, Jurassic (J2/J3), LLM, text, API, AI21 Terms, No, https://www.ai21.com/studio,Primary source; see www.ai21.com,2025-08-18T15:39:25Z
sarvam, Sarvam AI, company, India, https://www.sarvam.ai/, OpenHathi / Sarvam models, LLM (Indic), text, Open weights + API, Apache-2.0/custom, Partial, https://huggingface.co/ai4bharat/OpenHathi-7B,Model card (Hugging Face); see huggingface.co,2025-08-18T11:33:36Z
krutrim, Krutrim (Ola), company, India, https://www.krutrim.com/, Krutrim LLM, LLM (Indic), text, Apps/API, Krutrim Terms, No, https://www.krutrim.com/,Primary source; see www.krutrim.com,2025-08-20T17:56:01Z
ai4bharat, AI4Bharat (IIT Madras), academic, India, https://ai4bharat.iitm.ac.in/, IndicTrans / IndicLLMs, LLM/MT, text, Open weights, Apache-2.0, Yes, https://ai4bharat.iitm.ac.in/indictrans2,Primary source; see ai4bharat.iitm.ac.in,2025-08-21T05:42:25Z
aisg, AI Singapore, government, Singapore, https://aisingapore.org/, SEA-LION, LLM (SEA languages), text, Open weights, Apache-2.0, Yes, https://huggingface.co/SEA-LION,Model card (Hugging Face); see huggingface.co,2025-08-20T18:53:12Z
vinai, VinAI, company, Vietnam, https://www.vinai.io/, PhoBERT, LM (Vietnamese), text, Open weights, MIT, Yes, https://github.com/VinAIResearch/PhoBERT,Repository / weights; see github.com,2025-08-19T22:57:28Z
indonlp, IndoNLU (IndoNLP), consortium, Indonesia, https://indonlp.github.io/, IndoBERT, LM (Indonesian), text, Open weights, Apache-2.0, Yes, https://huggingface.co/indolem/indobert-base-uncased,Model card (Hugging Face); see huggingface.co,2025-08-23T00:23:04Z
nectec, NECTEC (Thailand), government, Thailand, https://www.nectec.or.th/, WangchanGLM, LLM (Thai), text, Open weights, Apache-2.0, Yes, https://github.com/vistec-AI/wangchanGLM,Repository / weights; see github.com,2025-08-23T23:06:45Z
mbzuai, MBZUAI / Inception (G42), government, UAE, https://mbzuai.ac.ae/, Jais, LLM (Arabic/English), text, Open weights + API, Apache-2.0, Partial, https://huggingface.co/inceptionai,Model card (Hugging Face); see huggingface.co,2025-08-22T01:58:57Z
qcri, Qatar Computing Research Institute (QCRI), government, Qatar, https://www.qcri.org/, AraBERT, LM (Arabic), text, Open weights, Apache-2.0, Yes, https://github.com/aub-mind/arabert,Repository / weights; see github.com,2025-08-23T11:18:25Z
sdaia, Saudi Data & AI Authority (SDAIA), government, Saudi Arabia, https://sdaia.gov.sa/, ALLaM, LLM (Arabic), text, API/Apps, SDAIA Terms, No, https://allam.sdaia.gov.sa/,Primary source; see allam.sdaia.gov.sa,2025-08-25T09:56:37Z
sber, Sber AI, company, Russia, https://sberbank.com/, GigaChat, LLM (Russian), text, API/Apps, Sber Terms, No, https://gigachat.ru/,Primary source; see gigachat.ru,2025-08-24T22:27:12Z
yandex, Yandex, company, Russia, https://yandex.com/, YaLM, LLM (Russian), text, Open weights + API, Apache-2.0/custom, Partial, https://github.com/yandex/YaLM-100B,Repository / weights; see github.com,2025-08-24T20:31:33Z
allegro, Allegro (PL), company, Poland, https://allegro.tech/, HerBERT, LM (Polish), text, Open weights, MIT/Apache-2.0, Yes, https://github.com/allegro/herbert,Repository / weights; see github.com,2025-08-25T19:48:48Z
clarinpl, CLARIN-PL, government, Poland, https://clarin-pl.eu/, Polish RoBERTa, LM (Polish), text, Open weights, Apache-2.0, Yes, https://huggingface.co/clarin-pl,Model card (Hugging Face); see huggingface.co,2025-08-28T03:31:22Z
dccuchile, DCC UChile, academic, Chile, https://www.dcc.uchile.cl/, BETO (Spanish BERT), LM (Spanish), text, Open weights, MIT, Yes, https://huggingface.co/dccuchile/bert-base-spanish-wwm-cased,Model card (Hugging Face); see huggingface.co,2025-08-27T02:53:41Z
