provider_id,provider_name,entity_type,hq_country,provider_website,system_family,system_category,modality,access,license_or_terms,open_weights,model_family_source_url,notes,last_verified_utc
unicamp, NILC (USP/UNICAMP), academic, Brazil, http://nilc.icmc.usp.br/, BERTimbau, LM (Portuguese), text, Open weights, MIT, Yes, https://huggingface.co/neuralmind/bert-base-portuguese-cased,Model card (Hugging Face); see huggingface.co,2025-08-25T20:24:59Z
spacy_es, BSC & UPV, academic, Spain, https://www.bsc.es/, RoBERTa-BNE, LM (Spanish), text, Open weights, MIT, Yes, https://huggingface.co/PlanTL-GOB-ES/roberta-base-bne,Model card (Hugging Face); see huggingface.co,2025-08-29T06:18:19Z
masakhane, Masakhane, non-profit, Pan-Africa, https://www.masakhane.io/, AfriBERTa, LM (African langs), text, Open weights, Apache-2.0, Yes, https://huggingface.co/daichy/afriberta_large,Model card (Hugging Face); see huggingface.co,2025-08-30T06:19:47Z
ai4d, AI4D Africa, consortium, Africa, https://ai4d.ai/, African NLP models, LM, text, Open weights, Various, Yes, https://github.com/AI4D-Africa,Repository / weights; see github.com,2025-08-29T00:39:57Z
stanford, Stanford CRFM, academic, USA, https://crfm.stanford.edu/, Alpaca, LLM (instruction), text, Open weights, Creative Commons Non-Commercial (derivative of LLaMA), Partial, https://crfm.stanford.edu/2023/03/13/alpaca.html,Primary source; see crfm.stanford.edu,2025-08-28T13:26:28Z
lmsys, LMSYS (UC Berkeley), academic, USA, https://lmsys.org/, Vicuna, LLM (chat), text, Open weights, Non-commercial (LLaMA-based), Partial, https://lmsys.org/blog/2023-03-30-vicuna/,Primary source; see lmsys.org,2025-08-31T07:20:36Z
openassistant, OpenAssistant (LAION), non-profit, International, https://open-assistant.io/, OASST models, LLM (chat), text, Open weights, Apache-2.0/RAIL, Yes, https://github.com/LAION-AI/Open-Assistant,Repository / weights; see github.com,2025-09-01T05:28:18Z
princeton_nlp, Princeton/NVIDIA/UMD, academic, USA, https://nlp.cs.princeton.edu/, Dolly (Databricks)??, LLM, text, Open weights, Databricks Terms, Yes, https://www.databricks.com/blog/2023/03/24/dolly-v2-open-source-instruction-following-llm.html,Announcement / model card (Databricks); see www.databricks.com,2025-08-30T16:57:05Z
meta_seamless, Meta, company, USA, https://ai.meta.com/, SeamlessM4T, Speech Translation," ""audio,text""", Open weights, CC BY-NC 4.0, Partial, https://ai.meta.com/research/publications/seamlessm4t/,Model family hub (Meta); see ai.meta.com,2025-08-31T07:02:03Z
openai_whisper, OpenAI, company, USA, https://openai.com/, Whisper, ASR, audio, Open weights + API, MIT, Yes, https://github.com/openai/whisper,Repository / weights; see github.com,2025-09-03T07:24:41Z
google_imagen, Google, company, USA, https://ai.google/, Imagen, Diffusion (image), image, API/Apps, Proprietary, No, https://ai.google/discover/imagen/,Primary source; see ai.google,2025-09-01T22:16:50Z
meta_sam, Meta, company, USA, https://ai.meta.com/, Segment Anything (SAM), Vision segmentation, image, Open weights, Apache-2.0, Yes, https://segment-anything.com/,Primary source; see segment-anything.com,2025-08-31T20:44:32Z
stability_audio, Stability AI, company, UK, https://stability.ai/, Stable Audio, Audio generation, audio, API, Proprietary, No, https://stability.ai/news/introducing-stable-audio,Primary source; see stability.ai,2025-09-03T06:21:16Z
openbmb_qwen2vl, OpenBMB, consortium, China, https://www.openbmb.org/, MiniCPM-V, VLM," ""text,image""", Open weights, Apache-2.0, Yes, https://huggingface.co/openbmb/MiniCPM-V,Model card (Hugging Face); see huggingface.co,2025-09-04T15:41:47Z
nvidia_riva, NVIDIA, company, USA, https://developer.nvidia.com/riva, Riva TTS/ASR, TTS/ASR, audio, API/SDK, NVIDIA Terms, No, https://developer.nvidia.com/riva,Primary source; see developer.nvidia.com,2025-09-04T07:54:30Z
microsoft_cosmos, Microsoft, company, USA, https://www.microsoft.com/research/, Kosmos-2, VLM," ""text,image""", Research (open weights), MIT, Yes, https://www.microsoft.com/en-us/research/project/kosmos-2/,Primary source; see www.microsoft.com,2025-09-04T03:38:05Z
ibm_granite_code, IBM, company, USA, https://www.ibm.com/, Granite Code, LLM (code), text, Open weights + API, Apache-2.0, Yes, https://huggingface.co/ibm-granite/granite-code-8b,Model card (Hugging Face); see huggingface.co,2025-09-06T14:51:06Z
google_gemma, Google, company, USA, https://ai.google/, Gemma 2, LLM (small), text, Open weights, Gemma License, Yes, https://ai.google.dev/gemma,Official model docs (Google); see ai.google.dev,2025-09-07T01:10:40Z
meta_audio, Meta, company, USA, https://ai.meta.com/, AudioCraft / MusicGen, Audio generation, audio, Open weights, MIT, Yes, https://github.com/facebookresearch/audiocraft,Repository / weights; see github.com,2025-09-05T18:47:05Z
nvidia_parakeet, NVIDIA, company, USA, https://research.nvidia.com/, Parakeet, TTS, audio, Open weights, MIT, Yes, https://github.com/NVIDIA/NeMo-TTS/tree/main/nemo_text_processing,Repository / weights; see github.com,2025-09-06T08:48:23Z
cloudflare_ai, Cloudflare, company, USA, https://www.cloudflare.com/, Workers AI (hosted foundation models), Hosting platform," ""text,image""", API, Cloudflare Terms, No, https://developers.cloudflare.com/workers-ai/models/,Primary source; see developers.cloudflare.com,2025-09-09T20:27:53Z
sap, SAP, company, Germany, https://www.sap.com/, Joule (SAP AI), Assistant, text, API/Apps, SAP Terms, No, https://www.sap.com/products/artificial-intelligence.html,Primary source; see www.sap.com,2025-09-07T19:14:17Z
kyutai, Kyutai, non-profit, France, https://www.kyutai.org/, Moshi, Voice assistant model," ""audio,text""", Open research + demos, Custom, Partial, https://www.kyutai.org/en/moshi/,Primary source; see www.kyutai.org,2025-09-07T06:28:42Z
cerebras, Cerebras Systems, company, USA, https://www.cerebras.net/, Cerebras-GPT, LLM, text, Open weights, Apache-2.0, Yes, https://github.com/Cerebras/modelzoo/tree/main/modelzoo/transformers/cerebras_gpt,Repository / weights; see github.com,2025-09-10T06:48:32Z
tinyllama, TinyLlama, consortium, International, https://github.com/jzhang38/TinyLlama, TinyLlama, LLM (small), text, Open weights, Apache-2.0, Yes, https://github.com/jzhang38/TinyLlama,Repository / weights; see github.com,2025-09-10T17:44:50Z
openorca, OpenOrca, community, International, https://huggingface.co/Open-Orca, OpenOrca, LLM (instruction), text, Open weights, OpenRAIL, Yes, https://huggingface.co/Open-Orca,Model card (Hugging Face); see huggingface.co,2025-09-10T01:41:47Z
abacus, Abacus.AI, company, USA, https://abacus.ai/, Smaug, LLM, text, Open weights + API, Apache-2.0, Partial, https://huggingface.co/abacusai/Smaug-72B-v0.1,Model card (Hugging Face); see huggingface.co,2025-09-10T12:41:10Z
teknium, Teknium, community, USA, https://huggingface.co/teknium, OpenHermes, LLM (instruction), text, Open weights, Apache-2.0, Yes, https://huggingface.co/teknium/OpenHermes-2.5-Mistral-7B,Model card (Hugging Face); see huggingface.co,2025-09-12T03:15:02Z
llava, LLaVA Team (Berkeley/UCLA/CMU), academic, USA, https://llava-vl.github.io/, LLaVA, VLM (vision-language)," ""text,image""", Open weights, Apache-2.0, Yes, https://github.com/haotian-liu/LLaVA,Repository / weights; see github.com,2025-09-13T14:28:20Z
minigpt4, KAUST Vision-CAIR, academic, Saudi Arabia, https://minigpt-4.github.io/, MiniGPT-4, VLM," ""text,image""", Open weights, Apache-2.0, Yes, https://github.com/Vision-CAIR/MiniGPT-4,Repository / weights; see github.com,2025-09-11T16:48:38Z
idea_research, IDEA Research, academic, China, https://www.idea.edu.cn/, Grounding DINO, Vision detection, image, Open weights, Apache-2.0, Yes, https://github.com/IDEA-Research/GroundingDINO,Repository / weights; see github.com,2025-09-12T17:16:31Z
openflamingo, OpenFlamingo (LAION/AllenAI), consortium, International, https://github.com/mlfoundations/open_flamingo, OpenFlamingo, VLM," ""text,image""", Open weights, Apache-2.0, Yes, https://github.com/mlfoundations/open_flamingo,Repository / weights; see github.com,2025-09-15T06:25:29Z
turkunlp, TurkuNLP (University of Turku), academic, Finland, https://turkunlp.org/, FinBERT, LM (Finnish), text, Open weights, Apache-2.0, Yes, https://huggingface.co/TurkuNLP/bert-base-finnish-cased-v1,Model card (Hugging Face); see huggingface.co,2025-09-14T11:30:10Z
uio_nlp, University of Oslo NLP, academic, Norway, https://www.mn.uio.no/ifi/english/research/groups/ltg/, NorBERT, LM (Norwegian), text, Open weights, Apache-2.0, Yes, https://huggingface.co/NbAiLab/nb-bert-base,Model card (Hugging Face); see huggingface.co,2025-09-13T13:13:10Z
helsinki_nlp, Helsinki-NLP, academic, Finland, https://github.com/Helsinki-NLP, OPUS-MT, Machine Translation, text, Open weights, Apache-2.0, Yes, https://huggingface.co/Helsinki-NLP,Model card (Hugging Face); see huggingface.co,2025-09-16T10:12:30Z
deeppavlov, DeepPavlov, academic, Russia, https://deeppavlov.ai/, ruGPT / rubert, LM (Russian), text, Open weights, Apache-2.0, Yes, https://github.com/deeppavlov,Repository / weights; see github.com,2025-09-17T22:31:09Z
theoceancleanup_adis, The Ocean Cleanup, non-profit, Netherlands, https://theoceancleanup.com, ADIS (AI Debris Identification System), Vision detection," ""image,video""", Project / research (no public API), N/A, No, https://theoceancleanup.com/updates/using-artificial-intelligence-to-monitor-plastic-density-in-the-ocean/, Cameras on vessels + AI object detection to identify floating macroplastics; human validation by volunteers.,2025-09-16T04:04:16Z
calpoly_iatpp_ai_for_reporters, Cal Poly Institute for Advanced Technology and Public Policy (IATPP), academic, USA, https://iatpp.calpoly.edu, AI for Reporters (Digital Democracy), Assistant, text, Hosted (no public API), N/A, No, https://iatpp.calpoly.edu/reporters-project-receives-new-support-build-statehouse-coverage-system, Automatically generates articles from legislative sources; part of Digital Democracy initiative.,2025-09-16T13:55:40Z
iu_osome_botometer, Indiana University (OSoMe & IUNI), academic, USA, https://osome.iu.edu, Botometer, NLP classification," ""text,metadata""", Web app & API, Terms of service, No, https://botometer.osome.iu.edu/," ""Classifies accounts by bot-likeness using features of content, network, and metadata.""",2025-09-18T16:13:21Z
climatetrace, Climate TRACE coalition, non-profit, International, https://climatetrace.org, Climate TRACE, Vision detection," ""image,metadata""", Hosted (public dashboards), Terms of use, No, https://climatetrace.org/, Uses AI & remote sensing to estimate GHG emissions by source with global inventory.,2025-09-19T19:34:12Z
flora_incognita, TU Ilmenau & Max Planck Institute (MPI-Jena), academic, Germany, https://floraincognita.com/, Flora Incognita, Vision detection, image, Mobile apps (iOS/Android), App terms, No, https://floraincognita.com/flora-incognita-app/, AI-based plant identification app with citizen science features.,2025-09-17T19:47:25Z
plantix, PEAT GmbH, company, Germany, https://plantix.net/en/, Plantix, Vision detection, image, Mobile app, App terms, No, https://plantix.net/en/, Diagnoses crop diseases from images; provides treatment suggestions and community support.,2025-09-18T16:11:31Z
planblue, PlanBlue GmbH, company, Germany, https://www.planblue.com/, PlanBlue Seafloor Intelligence, Vision detection," ""image,video""", Commercial services, Proprietary, No, https://www.planblue.com/, AI-powered underwater seafloor mapping and analytics.,2025-09-21T04:23:13Z
birdvision, BirdVision GmbH & Co. KG, company, Germany, https://birdvision.org/, BirdVision, Vision detection," ""image,video""", Commercial systems, Proprietary, No, https://birdvision.org/, Real-time detection of protected bird species near wind turbines to trigger shutdowns.,2025-09-20T23:13:34Z
charamel_avasag, Charamel GmbH, company, Germany, https://charamel.com/, AVASAG (Sign Language Avatar), Text-to-sign avatar," ""text,video""", Project / research demo, N/A, No, https://charamel.com/en/research-and-development/avasag, AI-based 3D avatar translating German text into German Sign Language (DGS).,2025-09-20T17:36:12Z
fullfact_ai, Full Fact, non-profit, UK, https://fullfact.org/, Full Fact AI, Assistant," ""text,audio,video""", SaaS (for fact-checkers), Terms of use, No, https://fullfact.ai/," ""Tools to monitor, cluster, and surface claims across media for fact-checking.""",2025-09-21T21:25:34Z
govii, Govii UG, company, Germany, https://govii.de/, Govii, Assistant, text, Hosted (chatbot), Terms of use, No, https://govii.de/, Administrative information chatbot for public services in Germany.,2025-09-23T13:21:59Z
idmc_idetect, Internal Displacement Monitoring Centre (IDMC), non-profit, Switzerland, https://www.internal-displacement.org/, IDETECT, NLP classification, text, Internal platform & dashboards, N/A, No, https://www.internal-displacement.org/monitoring-tools/monitoring-platform/, NLP & ML pipeline to monitor and surface displacement events for analysis.,2025-09-22T09:42:34Z
helsinki_obotti, City of Helsinki, government, Finland, https://ai.hel.fi/, Obotti (Oodi book recommendation chatbot), Assistant, text, Retired (historical), App terms, No, https://ai.hel.fi/en/oodis-book-recommendation-service-obotti/," ""Recommends library books using contextual analysis and feedback. (Service retired Oct 31, 2023).""",2025-09-22T02:25:02Z
hamburg_frag_den_michel, City of Hamburg, government, Germany, https://www.hamburg.de/, Frag-den-Michel, Assistant, text, Hosted (chatbot), Terms of use, No, https://www.hamburg.de/fragdenmichel, Administrative services chatbot for Hamburg.,2025-09-24T10:20:27Z
berlin_bobbi, City of Berlin (ITDZ Berlin & TU Berlin DAI-Lab), government, Germany, https://service.berlin.de/, Bobbi, Assistant, text, Hosted (chatbot), Terms of use, No, https://service.berlin.de/chatbot/, Virtual citizen assistant integrated into Berlin ServicePortal.,2025-09-26T10:10:25Z
genderly, Genderly team (Prototype Fund), non-profit, Germany, https://gendern.jetzt/, Genderly, Assistant, text, Web app & browser extension, Open source (GitHub), Partial, https://www.prototypefund.de/en/projects/genderly, Simplifies inclusive writing in German; funded by Prototype Fund.,2025-09-24T05:46:48Z
masakhane_ner, Masakhane, non-profit, Kenya, https://www.masakhane.io/, MasakhaNER, NLP (dataset + models), text, Open source dataset & models, Open source, Yes, https://www.masakhane.io/ongoing-projects/masakhaner-know-our-names, NER datasets and models for multiple African languages.,2025-09-24T23:17:06Z
ai2_earthranger, Allen Institute for AI (AI2), non-profit, USA, https://allenai.org/, EarthRanger, Assistant," ""text,image,geospatial""", SaaS (conservation partners), Terms of use, No, https://www.earthranger.com/," ""Conservation operations platform integrating sensors, remote sensing and field reports.""",2025-09-27T13:50:17Z
ai2_skylight, Allen Institute for AI (AI2), non-profit, USA, https://allenai.org/, Skylight, Vision detection," ""image,metadata""", Hosted platform (enforcement partners), Terms of use, No, https://www.skylight.global/, AI-powered vessel detection and IUU fishing analytics.,2025-09-27T16:57:27Z
citylab_berlin_qtrees, CityLAB Berlin (Technologiestiftung Berlin), non-profit, Germany, https://citylab-berlin.org/, QTrees (Baumblick), Forecasting," ""sensor,tabular""", Web apps (open source), Open source, Partial, https://citylab-berlin.org/en/projects/qtrees-2/, AI predictions for drought risk and irrigation needs of urban trees.,2025-09-26T20:15:09Z
rainforest_connection_arbimon, Rainforest Connection (RFCx), non-profit, USA, https://rfcx.org/, Arbimon, Audio classification, audio, SaaS (research & NGO), Terms of use, No, https://arbimon.org/, AI-powered ecoacoustic analysis and biodiversity monitoring.,2025-09-27T02:40:01Z
vframe, VFRAME.io, non-profit, Germany, https://vframe.io/, VFRAME, Vision detection," ""image,video""", Open-source tools + research, Open source (various), Partial, https://vframe.io/, Computer vision tools for human rights OSINT; synthetic data methods.,2025-09-29T13:49:16Z
syrian_archive, Mnemonic / Syrian Archive, non-profit, Germany, https://syrianarchive.org/, Syrian Archive (OSINT pipeline), Vision detection," ""image,video,text""", Web platform, Terms of use, No, https://syrianarchive.org/en/about/methods-and-tools/, Archival and verification workflows using computer vision and metadata for accountability.,2025-09-28T13:08:08Z
cirrolytix_aedes, CirroLytix Research Services, company, Philippines, https://cirrolytix.com/, Project AEDES, Forecasting," ""tabular,image""", Web app & dashboards, Terms of use, No, https://www.aedesproject.org/," ""Predicts dengue hotspots using climate, search, and remote sensing data.""",2025-09-27T21:02:43Z
drivendata_zamba, DrivenData, company, USA, https://www.drivendata.org/, Zamba, Vision detection," ""image,video""", Open source & SaaS (Zamba Cloud), Open source (code) + Terms for cloud, Yes, https://zamba.drivendata.org/docs/v2.6/, Camera-trap wildlife detection and species classification; open-source toolkit.,2025-10-01T01:31:52Z
botalite_factalite, Botalite, company, Spain, https://botalite.es/, Factalite, Assistant," ""text,audio,image,video""", SaaS, Terms of service, No, https://botalite.es/, Semi-automated chatbot + platform to counter disinformation on private messaging apps.,2025-10-02T10:09:55Z
huridocs_uwazi, HURIDOCS, non-profit, Switzerland, https://huridocs.org/, Uwazi, Document management, text, Open source software, Open source, Yes, https://uwazi.io/," ""Open-source, searchable database application widely used by human rights orgs.""",2025-09-30T16:26:58Z
armman_kilkari_ai, ARMMAN, non-profit, India, https://armman.org/, Kilkari AI engagement model, Forecasting," ""tabular,metadata""", Internal (with partners), N/A, No, https://research.google/blog/using-ml-to-boost-engagement-with-a-maternal-and-child-health-program-in-india/, ML model to improve mHealth call engagement and predict high-risk conditions for Kilkari.,2025-10-01T00:17:45Z
unicef_kindly, UNICEF Office of Innovation, non-profit, International, https://www.unicef.org/innovation, Kindly (anti-cyberbullying API), Assistant, text, Open API, Open source, Yes, https://kindly.unicef.io/, Open-source API to detect cyberbullying intent and provide feedback.,2025-10-03T10:59:17Z
ai2_wildlands, Allen Institute for AI (AI2), non-profit, USA, https://allenai.org/, Wildlands, Vision detection, image, Research + partner tools, N/A, No, https://allenai.org/wildlands, Uses ML to estimate fuel loading and support fire management.,2025-10-04T11:26:51Z
grw_microsoft_planet_tnc," ""Microsoft, Planet Labs, The Nature Conservancy""", consortium, International, https://www.globalrenewableswatch.org/, Global Renewables Watch (GRW), Vision detection, image, Web portal & datasets, Terms of use, No, https://www.globalrenewableswatch.org/, Maps utility-scale solar/wind installations using AI and satellite imagery.,2025-10-01T22:12:28Z
tu_berlin_gca, Technische Universität Berlin, academic, Germany, https://www.tu.berlin/, Green Consumption Assistant (GCA), Assistant," ""text,web""", Browser integration (Ecosia), Project terms, No, https://green-consumption-assistant.de/en/home-english/, Provides sustainability info and green alternatives during online shopping.,2025-10-03T06:28:56Z
amsterdam_reporting_issues, City of Amsterdam, government, Netherlands, https://algoritmeregister.amsterdam.nl/en/ai-register/, Reporting issues in public space (auto-categorization), Assistant," ""text,image,metadata""", Internal municipal system, N/A, No, https://algoritmeregister.amsterdam.nl/en/ai-register/, Automated categorization of citizen reports for public space issues.,2025-10-05T08:09:08Z
estonia_euif_ott, Estonian Unemployment Insurance Fund (EUIF), government, Estonia, https://www.tootukassa.ee/, OTT (Decision Support Tool), Forecasting, tabular, Internal decision support, N/A, No, https://nortal.com/insights/estonian-unemployment-insurance-fund-prevents-unemployment-with-artificial-intelligence, AI-powered tool predicting employment outcomes to assist advisors.,2025-10-04T18:40:04Z
boston_yelp_health_risk, DrivenData + City of Boston + Yelp + Harvard, consortium, USA, https://drivendata.co/, Restaurant risk prediction (Boston), NLP classification, text, Research project, N/A, No, https://drivendata.co/case-studies/using-yelp-reviews-to-flag-restaurant-health-risks/, Uses Yelp reviews to predict violations; discovered more violations with same inspections.,2025-10-04T04:59:16Z
usc_paws, USC Center for AI in Society (CAIS) / Harvard CRCS, academic, USA, https://cais.usc.edu/, PAWS (Protection Assistant for Wildlife Security), Planning," ""tabular,geospatial""", Deployed research, N/A, No, https://today.usc.edu/artificial-intelligence-paws-protect-endangered-animals/, Game-theoretic patrol planning to combat poaching.,2025-10-06T02:02:09Z
unicef_itu_giga_project_connect, UNICEF + ITU (Giga), consortium, International, https://giga.global/, Project Connect, Vision detection," ""image,metadata""", Public map & APIs, Terms of use, No, https://projectconnect.unicef.org/, Maps schools & connectivity using ML and satellite imagery.,2025-10-07T11:40:00Z
